Точка вылета создана в :21:36:10.90019: Задержка перед появлением стимула :1,064685:
Timestamp;Stimul_number;Position.x;Position.y;Position.z;Is_false_stimul;Is_catched
21:36:12.05922;1;-0,2973072;0,7099591;5,981297;1;0
21:36:12.06422;1;-0,2959502;0,7102128;5,969869;1;0
21:36:12.06522;1;-0,2945931;0,7104664;5,95844;1;0
21:36:12.06522;1;-0,2932361;0,7107201;5,947012;1;0
21:36:12.06522;1;-0,291879;0,7109738;5,935584;1;0
21:36:12.06622;1;-0,290522;0,7112275;5,924155;1;0
21:36:12.06622;1;-0,2891649;0,7114812;5,912727;1;0
21:36:12.06722;1;-0,2878079;0,7117348;5,901299;1;0
21:36:12.06722;1;-0,2864508;0,7119885;5,88987;1;0
21:36:12.06722;1;-0,2850938;0,7122422;5,878442;1;0
21:36:12.06822;1;-0,2837367;0,7124959;5,867013;1;0
21:36:12.06822;1;-0,2823797;0,7127495;5,855585;1;0
21:36:12.06822;1;-0,2810226;0,7130032;5,844157;1;0
21:36:12.06922;1;-0,2796656;0,7132569;5,832728;1;0
21:36:12.06922;1;-0,2783085;0,7135106;5,8213;1;0
21:36:12.07022;1;-0,2769515;0,7137643;5,809872;1;0
21:36:12.08022;1;-0,2755944;0,7140179;5,798443;1;0
21:36:12.08122;1;-0,2742374;0,7142716;5,787015;1;0
21:36:12.08122;1;-0,2728803;0,7145253;5,775587;1;0
21:36:12.08122;1;-0,2715233;0,714779;5,764158;1;0
21:36:12.08223;1;-0,2701662;0,7150326;5,75273;1;0
21:36:12.08223;1;-0,2688092;0,7152863;5,741302;1;0
21:36:12.08322;1;-0,2674522;0,71554;5,729873;1;0
21:36:12.08322;1;-0,2660951;0,7157937;5,718445;1;0
21:36:12.08322;1;-0,264738;0,7160473;5,707016;1;0
21:36:12.08422;1;-0,263381;0,716301;5,695588;1;0
21:36:12.08422;1;-0,2620239;0,7165547;5,68416;1;0
21:36:12.08422;1;-0,2606669;0,7168084;5,672731;1;0
21:36:12.08522;1;-0,2593098;0,7170621;5,661303;1;0
21:36:12.08522;1;-0,2579528;0,7173157;5,649875;1;0
21:36:12.08522;1;-0,2565958;0,7175694;5,638446;1;0
21:36:12.08622;1;-0,2552387;0,7178231;5,627018;1;0
21:36:12.09022;1;-0,2538817;0,7180768;5,61559;1;0
21:36:12.09022;1;-0,2525246;0,7183304;5,604161;1;0
21:36:12.09122;1;-0,2511675;0,7185841;5,592733;1;0
21:36:12.09222;1;-0,2498105;0,7188378;5,581305;1;0
21:36:12.09222;1;-0,2484535;0,7190915;5,569876;1;0
21:36:12.09222;1;-0,2470964;0,7193452;5,558448;1;0
21:36:12.09322;1;-0,2457394;0,7195988;5,547019;1;0
21:36:12.09322;1;-0,2443823;0,7198525;5,535591;1;0
21:36:12.09322;1;-0,2430253;0,7201062;5,524163;1;0
21:36:12.09422;1;-0,2416682;0,7203599;5,512734;1;0
21:36:12.10822;1;-0,2403112;0,7206135;5,501306;1;0
21:36:12.10922;1;-0,2389541;0,7208672;5,489878;1;0
21:36:12.10922;1;-0,2375971;0,7211209;5,478449;1;0
21:36:12.11022;1;-0,23624;0,7213746;5,467021;1;0
21:36:12.11022;1;-0,234883;0,7216282;5,455593;1;0
21:36:12.11022;1;-0,2335259;0,7218819;5,444164;1;0
